step,lang_loss,tri_loss,dist_loss,lr,elapsed_s
441,5.631647,0.000000,0.000000,0.00008820,347.2
442,5.585790,0.000000,0.000000,0.00008840,347.5
443,5.485221,0.000000,0.000000,0.00008860,347.9
444,5.552372,0.000000,0.000000,0.00008880,348.2
445,5.599131,0.000000,0.000000,0.00008900,348.6
446,5.459373,0.000000,0.000000,0.00008920,348.9
447,5.411286,0.000000,0.000000,0.00008940,349.2
448,5.514158,0.000000,0.000000,0.00008960,349.6
449,5.264363,0.000000,0.000000,0.00008980,349.9
450,5.538456,0.000000,0.000000,0.00009000,350.3
451,5.437153,0.000000,0.000000,0.00009020,350.6
452,5.387841,0.000000,0.000000,0.00009040,350.9
453,5.607343,0.000000,0.000000,0.00009060,351.3
454,5.278498,0.000000,0.000000,0.00009080,351.6
455,5.274299,0.000000,0.000000,0.00009100,352.0
456,5.369905,0.000000,0.000000,0.00009120,352.3
457,5.375970,0.000000,0.000000,0.00009140,352.7
458,5.429203,0.000000,0.000000,0.00009160,353.0
459,5.608300,0.000000,0.000000,0.00009180,353.3
460,5.252503,0.000000,0.000000,0.00009200,353.7
461,5.432280,0.000000,0.000000,0.00009220,354.0
462,5.342092,0.000000,0.000000,0.00009240,354.4
463,5.331421,0.000000,0.000000,0.00009260,354.7
464,5.093668,0.000000,0.000000,0.00009280,355.0
465,5.242151,0.000000,0.000000,0.00009300,355.4
466,5.139092,0.000000,0.000000,0.00009320,355.7
467,5.312667,0.000000,0.000000,0.00009340,356.1
468,5.373208,0.000000,0.000000,0.00009360,356.4
469,5.251516,0.000000,0.000000,0.00009380,356.7
470,5.272038,0.000000,0.000000,0.00009400,357.1
471,5.227885,0.000000,0.000000,0.00009420,357.4
472,5.379105,0.000000,0.000000,0.00009440,357.8
473,5.488733,0.000000,0.000000,0.00009460,358.1
474,5.420033,0.000000,0.000000,0.00009480,358.5
475,5.481089,0.000000,0.000000,0.00009500,358.8
476,5.618950,0.000000,0.000000,0.00009520,359.1
477,5.449154,0.000000,0.000000,0.00009540,359.5
478,5.513847,0.000000,0.000000,0.00009560,359.8
479,5.184766,0.000000,0.000000,0.00009580,360.2
480,5.452872,0.000000,0.000000,0.00009600,360.5
481,5.633819,0.000000,0.000000,0.00009620,360.8
482,5.446078,0.000000,0.000000,0.00009640,361.2
483,5.265030,0.000000,0.000000,0.00009660,361.5
484,5.446204,0.000000,0.000000,0.00009680,361.9
485,5.307822,0.000000,0.000000,0.00009700,362.2
486,5.372846,0.000000,0.000000,0.00009720,362.5
487,5.702948,0.000000,0.000000,0.00009740,362.9
488,5.361649,0.000000,0.000000,0.00009760,363.2
489,5.527105,0.000000,0.000000,0.00009780,363.6
490,5.430399,0.000000,0.000000,0.00009800,363.9
491,5.414782,0.000000,0.000000,0.00009820,364.3
492,5.452508,0.000000,0.000000,0.00009840,364.6
493,5.293074,0.000000,0.000000,0.00009860,364.9
494,5.335889,0.000000,0.000000,0.00009880,365.2
495,5.173221,0.000000,0.000000,0.00009900,365.6
496,5.190985,0.000000,0.000000,0.00009920,365.9
497,5.172864,0.000000,0.000000,0.00009940,366.3
498,5.407566,0.000000,0.000000,0.00009960,366.6
499,5.442557,0.000000,0.000000,0.00009980,367.0
500,5.572348,0.000000,0.000000,0.00010000,367.3
501,5.492096,0.000000,0.000000,0.00010000,367.6
502,5.433940,0.000000,0.000000,0.00010000,368.0
503,5.412308,0.000000,0.000000,0.00010000,368.3
504,5.284739,0.000000,0.000000,0.00010000,368.7
505,5.345451,0.000000,0.000000,0.00010000,369.0
506,5.386619,0.000000,0.000000,0.00010000,369.3
507,5.308034,0.000000,0.000000,0.00010000,369.7
508,5.436996,0.000000,0.000000,0.00010000,370.0
509,5.143991,0.000000,0.000000,0.00010000,370.4
510,5.426027,0.000000,0.000000,0.00010000,370.7
511,5.119117,0.000000,0.000000,0.00010000,371.0
512,5.350679,0.000000,0.000000,0.00010000,371.4
